title,mediaType,eps,ongoing,startYr,finishYr,sznOfRelease,studios,tags,contentWarn,watched,watching,dropped,rating,votes,duration
Kuroko's Basketball: Tip Off,DVD Special,1,FALSE,2013,2013,,['Production I.G'],"['Shounen', 'Sports', 'Basketball', 'School Club', 'Based on a Manga']",[],6605,73,23,4.268,4153,
Ace of the Diamond,TV,75,FALSE,2013,2015,Fall,"['Production I.G', 'MADHOUSE']","['Shounen', 'Sports', 'Baseball', 'Tournaments', 'Based on a Manga']",[],5923,2365,654,4.268,5838,
Fire Force,TV,24,FALSE,2019,2019,Summer,['David Production'],"['Action', 'Comedy', 'Drama', 'Ecchi', 'Shounen', 'Elemental Powers', 'Firefighters', 'Supernatural', 'Superpowers', 'Based on a Manga']",['Violence'],9209,7385,1201,4.268,9373,
Initial D Legend 2: Racer,Movie,1,FALSE,2015,2015,,"['SANZIGEN', 'LIDEN FILMS']","['Drama', 'Seinen', 'Sports', 'Cars', 'Racing', 'Based on a Manga']",[],1137,16,7,4.265,695,
Classroom of the Elite,TV,12,FALSE,2017,2017,Summer,['Lerche'],"['Drama', 'Ecchi', 'Boarding School', 'Psychological', 'School Life', 'Based on a Light Novel']",[],17723,1599,550,4.266,12970,
Gosick,TV,24,FALSE,2010,2011,Winter,['Bones'],"['Drama', 'Mystery', 'Romance', 'Boarding School', 'Detectives', 'England', 'Europe', 'Historical', 'Library', 'Based on a Light Novel']",['Violence'],20018,3013,1849,4.266,17275,
Lovely Complex,TV,24,FALSE,2007,2007,Spring,['Toei Animation'],"['Comedy', 'Romance', 'Shoujo', 'Romantic Comedy', 'School Life', 'Based on a Manga']",[],31994,1961,1914,4.265,24700,
The Labyrinth of Grisaia,TV Special,1,FALSE,2015,2015,,['8-Bit'],"['Action', 'Drama', 'Childcare', 'Guns', 'Based on a Visual Novel']",['Emotional Abuse'],8246,154,30,4.264,5524,
Ushio and Tora TV (2016),TV,13,FALSE,2016,2016,Spring,"['Studio VOLN', 'Mappa']","['Action', 'Fantasy', 'Shounen', 'Supernatural', 'Urban Fantasy', 'Based on a Manga']",[],4912,559,199,4.264,3619,
Prince of Tennis: National Championship Semifinal,OVA,6,FALSE,2007,2007,,[],"['Comedy', 'Shounen', 'Sports', 'Tennis', 'Based on a Manga']",[],5289,75,24,4.263,2896,
Durarara!! Specials,DVD Special,2,FALSE,2010,2011,,[],"['Action', 'Gangs', 'Supernatural', 'Yakuza', 'Based on a Light Novel']",[],13182,371,70,4.262,8858,
Blood Blockade Battlefront & Beyond,TV,12,FALSE,2017,2017,Fall,['Bones'],"['Action', 'Sci Fi', 'Shounen', 'Supernatural', 'Superpowers', 'Vampires', 'Based on a Manga']",[],8456,1261,325,4.262,6100,
Yona of the Dawn OVA,OVA,1,FALSE,2015,2015,,['Studio Pierrot'],"['Fantasy', 'Shoujo', 'Orphans', 'Royalty', 'Based on a Manga']",[],6083,155,21,4.263,3808,
Aria the Natural,TV,26,FALSE,2006,2006,Spring,['Hal Film Maker'],"['Shounen', 'Slice of Life', 'Apprenticeship', 'Iyashikei', 'Ocean', 'Work Life', 'Based on a Manga']",[],3557,344,182,4.261,2553,
Initial D Legend 1: Awakening,Movie,1,FALSE,2014,2014,,"['SANZIGEN', 'LIDEN FILMS']","['Drama', 'Seinen', 'Sports', 'Cars', 'Racing', 'Based on a Manga']",[],1503,23,11,4.26,953,
Detective Conan Movie 4: Captured In her Eyes,Movie,1,FALSE,2000,2000,,['TMS Entertainment'],"['Mystery', 'Romance', 'Shounen', 'Age Transformation', 'Amnesia', 'Amusement Park', 'Detectives', 'Police', 'Based on a Manga']",['Violence'],6543,37,16,4.26,3533,
Berserk: Golden Age Arc I - The Egg of the King,Movie,1,FALSE,2012,2012,Winter,['Studio 4°C'],"['Action', 'Fantasy', 'Seinen', 'Dark Fantasy', 'Demons', 'Medieval', 'Mercenaries', 'Overpowered Main Characters', 'Swordplay', 'Based on a Manga']","['Explicit Violence', 'Nudity']",12365,81,na,4.26,8901,
Mobile Suit Gundam: The 08th MS Team,,12,FALSE,1996,1999,,['Sunrise'],"['Action', 'Drama', 'Mecha', 'Sci Fi', 'Forest', 'Jungle', 'Military', 'War']",['Violence'],8353,210,137,4.26,5365,
Jormungand,TV,12,FALSE,2012,2012,Spring,['WHITE FOX'],"['Action', 'Seinen', 'Gangs', 'Guns', 'Mercenaries', 'Military', 'Based on a Manga']","['Nudity', 'Violence']",13095,1086,651,4.259,10420,
Brand New Animal,TV,12,FALSE,2020,2020,Spring,['Studio Trigger'],"['Action', 'Animal Protagonists', 'Animal Transformation', 'Anthropomorphic', 'Gangs', 'Lifestyle Change', 'Non-Human Protagonists', 'Terrorism', 'Original Work']",['Explicit Violence'],1124,965,44,4.259,1149,
One-Punch Man Specials,DVD Special,6,FALSE,2015,2016,,['MADHOUSE'],"['Action', 'Comedy', 'Sci Fi', 'Seinen', 'Overpowered Main Characters', 'Superheroes', 'Superpowers', 'Based on a Manga']",[],11628,1034,111,4.258,7853,
The Melancholy of Haruhi Suzumiya,TV,14,FALSE,2006,2006,Spring,['Kyoto Animation'],"['Comedy', 'Shounen', 'Breaking the Fourth Wall', 'School Club', 'School Life', 'Based on a Light Novel']",[],57941,2951,2808,4.258,44694,
The Eden of Grisaia,TV,10,FALSE,2015,2015,Spring,['8-Bit'],"['Comedy', 'Drama', 'Guns', 'Military', 'Based on a Visual Novel']",['Sexual Content'],9831,688,217,4.258,7161,
When They Cry: Higurashi,TV,26,FALSE,2006,2006,Spring,['Studio Deen'],"['Horror', 'Mystery', 'Countryside', 'Curse', 'Psychological', 'School Life', 'Thriller', 'Based on a Visual Novel']","['Emotional Abuse', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse']",38930,4256,3421,4.257,32578,109
Detective Conan Movie 22: Zero no Shikkounin,Movie,1,FALSE,2018,2018,,"['V1 Studio', 'TMS Entertainment']","['Drama', 'Mystery', 'Shounen', 'Age Transformation', 'Detectives', 'Based on a Manga']",[],788,43,10,4.257,490,
Paprika,Movie,1,FALSE,2006,2006,Winter,['MADHOUSE'],"['Sci Fi', 'Dream World', 'Hacking', 'Psychological', 'Based on a Novel']",['Nudity'],23474,213,165,4.255,17491,
Tamayura: Sotsugyou Shashin Movie 4 - Ashita,Movie,1,FALSE,2016,2016,,['TYO Animations'],"['Slice of Life', 'Iyashikei', 'Photography']",[],202,7,5,4.256,148,100
Okko's Inn Movie,Movie,1,FALSE,2018,2018,,"['MADHOUSE', 'DLE']","['Countryside', 'Hotels and Inns', 'Lifestyle Change', 'Orphans', 'Supernatural', 'Based on a Novel']",[],359,22,2,4.253,266,
Log Horizon 2,TV,25,FALSE,2014,2015,Fall,['Studio Deen'],"['Adventure', 'Fantasy', 'Sci Fi', 'Economics', 'Guilds', 'Isekai', 'MMORPG', 'Overpowered Main Characters', 'Person in a Strange World', 'PVE', 'RPG', 'Trapped in a Video Game', 'Based on a Light Novel']",[],23929,3890,893,4.255,222,
Initial D Third Stage,Movie,1,FALSE,2001,2001,,['Studio Deen'],"['Drama', 'Seinen', 'Sports', 'Cars', 'Racing', 'Based on a Manga']",[],10108,77,45,4.254,6283,
Wolf's Rain OVA,OVA,4,FALSE,2004,2004,Spring,['Bones'],"['Adventure', 'Fantasy', 'Mystery', 'Animal Protagonists', 'Dystopia', 'Non-Human Protagonists', 'Post-apocalyptic', 'Original Work']",['Violence'],5425,84,39,4.254,3626,
The Disappearance of Conan Edogawa: The Worst Two Days in History,TV Special,1,FALSE,2014,2014,,['TMS Entertainment'],"['Action', 'Mystery', 'Shounen', 'Age Transformation', 'Detectives', 'Based on a Manga']",[],1026,21,9,4.253,593,68
Psycho-Pass SS: Case. 3 - Onshuu no Kanata ni,Movie,1,FALSE,2019,2019,Winter,['Production I.G'],"['Sci Fi', 'Cyberpunk', 'Dystopia', 'Noir', 'Police', 'Original Work']","['Explicit Violence', 'Nudity']",869,36,6,4.253,592,
Overlord: Shikkoku no Senshi,Movie,1,FALSE,2017,2017,,['MADHOUSE'],"['Action', 'Adventure', 'Fantasy', 'Dark Fantasy', 'Magic', 'Overpowered Main Characters', 'Person in a Strange World', 'Recap', 'RPG', 'Skeletons', 'Trapped in a Video Game', 'Virtual Reality', 'Based on a Light Novel']",['Violence'],2792,107,36,4.251,1517,
Blue Exorcist,TV,25,FALSE,2011,2011,Spring,['A-1 Pictures'],"['Action', 'Fantasy', 'Shounen', 'Contemporary Fantasy', 'Demons', 'Monster School', 'School Life', 'Siblings', 'Supernatural', 'Urban Fantasy', 'Based on a Manga']",[],85487,7091,2725,4.251,64782,
Seitokai Yakuindomo* OVA,OVA,9,TRUE,2014,,,['GoHands'],"['Comedy', 'Shounen', 'Crude', 'Newly Co-ed School', 'Parody', 'Satire', 'School Life', 'Student Council', 'Based on a 4-Koma Manga', 'Based on a Manga']",['Sexual Content'],,1866,79,4.252,1271,
Wan Jie Xian Zong 3rd Season,Web,48,FALSE,2019,2020,Fall,[],"['Action', 'Fantasy', 'Ancient China', 'Chinese Animation', 'Cultivation', 'Short Episodes']",[],38,61,4,4.117,45,
Sket Dance OVA,OVA,1,FALSE,2013,2013,,['Tatsunoko Production'],"['Comedy', 'Shounen', 'Slice of Life', 'Gag', 'School Club', 'School Life', 'Based on a Manga']",[],1599,33,20,4.251,1016,
Saiunkoku Monogatari 2nd Series,TV,39,FALSE,2007,2008,Spring,['MADHOUSE'],"['Drama', 'Fantasy', 'Reverse Harem', 'Romance', 'Shoujo', 'Medical', 'Pandemic', 'Political', 'Social Gap', 'Based on a Light Novel']",[],4793,641,227,4.25,3680,
Prince of Tennis - National Championship,OVA,13,FALSE,2006,2007,,['M.S.C.'],"['Shounen', 'Sports', 'Tennis', 'Based on a Manga']",[],6260,227,67,4.25,3580,
Psycho-Pass: The Movie,Movie,1,FALSE,2015,2015,Winter,['Production I.G'],"['Action', 'Drama', 'Sci Fi', 'Dystopia', 'Guns', 'Thriller', 'Original Work']",['Explicit Violence'],8485,145,51,4.25,6237,
Haikyuu!! Movie 1: Owari to Hajimari,Movie,1,FALSE,2015,2015,,['Production I.G'],"['Shounen', 'Sports', 'Recap', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']",[],2123,121,14,4.248,1032,
Touhou Gensou Mangekyou: The Memories of Phantasm,Other,14,TRUE,2011,,Spring,[],"['Fantasy', 'Japanese Mythology', 'Magic', 'Based on a Doujinshi', 'Based on a Video Game']",[],,729,71,4.248,558,
Interstella 5555 - The 5tory of the 5ecret 5tar 5ystem,Movie,1,FALSE,2003,2003,,['Toei Animation'],"['Sci Fi', 'Aliens', 'Idols', 'Music', 'Non-Human Protagonists', 'Original Work']",[],7528,49,36,4.247,5237,
Ajin: Demi-Human 2nd Season,TV,13,FALSE,2016,2016,Fall,['Polygon Pictures'],"['Horror', 'Seinen', 'Animeism', 'Human Experimentation', 'Supernatural', 'Terrorism', 'Based on a Manga', 'CG Animation']","['Explicit Violence', 'Mature Themes', 'Physical Abuse']",9389,645,176,4.247,6939,
